Geo_Group,Community,,Geo_ID,N_Violent_19,Crowded_Housing_%_1216,Income_Diversity_1418,Vegetation_Index_17,Vacant_Housing_%_1216,Aerosol_Optical_Depth_17,Overall_Health_Status_%_1618,Foreign_Born_%_1216,Single_Parents_Households1216,Neighborhood_Safety_%_1618,Mobility Rate_2018,65+_%_2018,Total_Population_2018,Total_Population/1000,Big_Community(>66p),%_Poverty_2018,%_0-4_2018,%_5-17_2018,%_0-17,Covid_Cases_0905,Covid_Deaths_0905,Covid_Cases_Rate10k,Covid_Death_Rate10k,Has_Police,N_Active_Business_Licenses,Active_Bus_Rate_10k,Burglary_2019,Burglary_Rate_19_10k,Assault_2019,Assault_Rate_19_10k,Narcotics_2019,Narcotics_Rate_10k,Robbery_2019,Robbery_Rate_10k
33-Near South Side,33,Near South Side,33,29,1.915153365,62.2,0.21,10,0.173,94.6,20.7,4.2,87.2,7.4,9.5,23620,23.62000,0,9.3,5.2,9.4,14.6,434,29,183.742591,77.79110543,1,2209,935.2243861,40,16.93480102,146,61.81202371,29,12.27773074,44,18.6282811
34-Armour Square,34,Armour Square,34,39,5.497280497,56.3,0.18,9.3,0.181,56.7,60.1,7,76.5,4.1,23.1,13396,13.39600,0,37.6,4.5,12.7,17.2,1316,59,982.3828008,733.3404007,1,2607,1946.103314,25,18.66228725,73,54.49387877,18,13.43684682,72,53.7473873
35-Douglas,35,Douglas,35,75,2.255005269,58,0.29,10.2,0.185,77.7,17.1,11.4,78.4,24.1,14.4,20781,20.78100,0,39.2,4.1,11.8,15.9,1675,81,806.0247341,387.8661923,1,2951,1420.047158,35,16.84230788,267,128.4827487,75,36.09065974,85,40.9027477
36-Oakland,36,Oakland,36,22,2.517482517,55.5,0.34,8.7,0.188,68.2,9.3,24.9,64.5,6,9.9,6645,6.64500,0,29.6,6.6,23.6,30.2,359,22,540.2558315,813.0260819,1,344,517.682468,18,27.08803612,73,109.8570354,7,10.53423627,22,33.1075997
37-Fuller Park,37,Fuller Park,37,39,1.973684211,47.7,0.22,28.3,0.169,62,4.2,8.1,83.7,14.8,26.8,2354,2.35400,0,31.7,3.4,11.5,14.9,1020,30,4333.050127,18407.17981,1,1289,5475.785896,26,110.4502974,70,297.3661852,75,318.606627,49,208.1563297
38-Grand Boulevard,38,Grand Boulevard,38,116,2.370045808,59.9,0.27,18,0.174,84.9,2.3,16.6,70.2,17.9,14.2,22905,22.90500,0,32.8,7.2,17.2,24.4,1660,64,724.7325911,316.4080293,1,2161,943.4621262,106,46.27810522,278,121.3708797,195,85.13425016,98,42.7854180
39-Kenwood,39,Kenwood,39,42,1.656246572,65.4,0.34,12.6,0.184,87.6,12.1,9.8,85.8,8.4,17.7,17189,17.18900,0,22.7,5.7,11.9,17.6,640,34,372.331142,216.6101239,1,872,507.301181,42,24.43423119,121,70.39385654,23,13.38065042,42,24.4342312
40-Washington Park,40,Washington Park,40,77,4.757527005,52.8,0.35,23.1,0.183,60.9,1.2,29.5,38.8,12.5,7.4,11502,11.50200,0,41.8,11.9,22.9,34.8,2084,87,1811.858807,1575.25544,1,2586,2248.304643,85,73.90019127,236,205.1817075,121,105.1990958,66,57.3813250
41-Hyde Park,41,Hyde Park,41,46,1.612259558,65.6,0.33,11.8,0.191,91.7,19.2,5.5,90.8,7.7,13.7,26827,26.82700,0,23.2,3.9,8.8,12.7,693,26,258.3218399,96.29173591,1,1006,374.9953405,55,20.50173333,125,46.59484847,16,5.964140605,72,26.8386327
42-Woodlawn,42,Woodlawn,42,101,3.333012234,56.5,0.35,23.2,0.178,77.7,5.7,18.2,63.5,11.5,12.5,25207,25.20700,0,38.0,6.8,17.4,24.2,983,86,389.9710398,154.7074383,1,991,393.1447614,130,51.57297576,303,120.204705,158,62.68100131,132,52.3664062
43-South Shore,43,South Shore,43,292,3.459821429,55.9,0.3,22.3,0.173,79.7,3.1,17.2,54.8,24.4,13.2,48479,48.47900,1,38.8,7.8,16.5,24.3,1667,127,343.8602281,70.92972795,1,1844,380.3708822,510,105.2001898,768,158.4191093,385,79.41582953,293,60.4385404
44-Chatham,44,Chatham,44,248,3.151586891,56.6,0.3,18.5,0.160,84.2,2,17.2,66.3,14.1,15.5,31071,31.07100,0,26.7,7.5,15,22.5,1514,98,487.2710888,156.8250423,1,1694,545.2029223,282,90.75987255,698,224.6467767,284,91.40355959,250,80.4608799
